@ NAME             %08s "TRACKONE"
@ TYPE             %08s "TRACKONE"
@ TITLE            %08s "no-title"
@ ORIGIN           %23s "MAD-X 5.00.15 Darwin 64"
@ DATE             %08s "01/04/12"
@ TIME             %08s "18.32.06"
*     NUMBER       TURN                  X                 PX                  Y                 PY                  T                 PT                  S                  E 
$         %d         %d                %le                %le                %le                %le                %le                %le                %le                %le 
#segment       1      13      80       0 start                                           
          8          1      -0.0100943727    -0.001260277569   -0.0009905923245    0.0001252385765                  0                  0               0.15                6.7
          9          1    -0.001009437266   -0.0001260277568   -9.905923282e-05    1.252385766e-05                  0                  0               0.15                6.7
         10          1   -0.0001009437266   -1.260277568e-05   -9.905923282e-06    1.252385766e-06                  0                  0               0.15                6.7
         12          1       0.2018877558      0.02520555896      0.01981181647    -0.002504770775                  0                  0               0.15                6.7
         13          1      0.02018874562     0.002520555145     0.001981184626   -0.0002504771524                  0                  0               0.15                6.7
         14          1     0.002018874532    0.0002520555137    0.0001981184656   -2.504771531e-05                  0                  0               0.15                6.7
         15          1    0.0002018874532    2.520555137e-05    1.981184656e-05   -2.504771531e-06                  0                  0               0.15                6.7
         17          1      -0.2018877558     -0.02520555896     -0.01981181647     0.002504770775                  0                  0               0.15                6.7
         18          1     -0.02018874562    -0.002520555145    -0.001981184626    0.0002504771524                  0                  0               0.15                6.7
         19          1    -0.002018874532   -0.0002520555137   -0.0001981184656    2.504771531e-05                  0                  0               0.15                6.7
         20          1   -0.0002018874532   -2.520555137e-05   -1.981184656e-05    2.504771531e-06                  0                  0               0.15                6.7
         22          1       0.3028322014      0.03780835267      0.02971766824    -0.003757154745                  0                  0               0.15                6.7
         23          1        0.030283119     0.003780832731     0.002971776883   -0.0003757157271                  0                  0               0.15                6.7
         24          1     0.003028311799    0.0003780832706    0.0002971776984   -3.757157296e-05                  0                  0               0.15                6.7
         25          1    0.0003028311798    3.780832705e-05    2.971776985e-05   -3.757157297e-06                  0                  0               0.15                6.7
         27          1      -0.3028322014     -0.03780835267     -0.02971766824     0.003757154745                  0                  0               0.15                6.7
         28          1       -0.030283119    -0.003780832731    -0.002971776883    0.0003757157271                  0                  0               0.15                6.7
         29          1    -0.003028311799   -0.0003780832706   -0.0002971776984    3.757157296e-05                  0                  0               0.15                6.7
         30          1   -0.0003028311798   -3.780832705e-05   -2.971776985e-05    3.757157297e-06                  0                  0               0.15                6.7
         32          1       0.4037773293      0.05041116348      0.03962345216    -0.005009537012                  0                  0               0.15                6.7
